№,ID,Адрес,Метро,Часы работы,Широта (WGS84),Долгота (WGS84),Широта,Долгота
184,4269947,"ул. Авиаконструктора Микояна, 12","ЦСКА, Аэропорт, Зорге МЦК",пн-вс 9:00 - 22:05,55.792516,37.5274647,55.792516,37.5274647
185,7890,"ул. Трофимова, 23","Кожуховская, Автозаводская, Дубровка",пн-вс 9:00 - 22:05,55.7030517,37.6777477,55.7030517,37.6777477
186,4584556,"ул. Нижняя Хохловка, 8",Нижегородская,пн-вс 9:00 - 22:05,55.7286712,37.719408,55.7286712,37.719408
189,3353420,"ул. Яблочкова, 6А",Тимирязевская,пн-вс 9:00 - 22:05,55.8158243,37.5823716,55.8158243,37.5823716
190,3867860,"ул. Коккинаки, 2","Аэропорт, Петровский парк, Динамо",пн-вс 9:00 - 22:05,55.8038658,37.5446387,55.8038658,37.5446387
191,2560044,"ул. Вельяминовская, 6","Семёновская, Электрозаводская, Преображенская площадь",пн-вс 9:00 - 22:05,55.7805286,37.7222382,55.7805286,37.7222382
192,165713,"ул. Преображенская, 5/7","Преображенская площадь, Электрозаводская, Сокольники",пн-вс 9:00 - 22:05,55.795897,37.7080516,55.795897,37.7080516
193,864231,"ул. Трофимова, 33","Кожуховская, Дубровка, Автозаводская",пн-вс 9:00 - 22:05,55.7036749,37.6835918,55.7036749,37.6835918
199,4277838,"ул. Суворовская, 20","Преображенская площадь, Семёновская, Электрозаводская",пн-вс 9:00 - 22:05,55.7929191,37.711644,55.7929191,37.711644
200,3483821,"ул. Вавилова, 27","Академическая, Ленинский проспект, Площадь Гагарина",пн-вс 9:00 - 22:05,55.6966333,37.5706713,55.6966333,37.5706713
202,4321137,"ул. Буракова, 23","Шоссе Энтузиастов, Соколиная гора",пн-вс 9:00 - 22:05,55.7605267,37.732486,55.7605267,37.732486
209,2397877,"пл. Преображенская, 8","Преображенская площадь, Семёновская, Электрозаводская",пн-вс 8:00 - 22:05,55.7948742,37.7128158,55.7948742,37.7128158
210,10130,"ул. Довженко, 6","Парк Победы, Ломоносовский проспект, Минская",пн-вс 9:00 - 22:05,55.7235118,37.5143334,55.7235118,37.5143334
211,3415817,"ул. Фонвизина, 18","Фонвизинская, Бутырская",пн-вс 9:00 - 22:05,55.8216961,37.5922901,55.8216961,37.5922901
213,3387098,"ш. Измайловское, 29",Семёновская,пн-вс 9:00 - 22:05,55.7794761,37.7299932,55.7794761,37.7299932
215,7224,"ул. Академика Королева, 28","Телецентр, Бутырская, Улица Академика Королёва",пн-вс 9:00 - 22:05,55.822411,37.5983927,55.822411,37.5983927
216,3074925,"ул. Космонавтов, 6","ВДНХ, Выставочный центр, Улица Сергея Эйзенштейна",пн-вс 9:00 - 22:05,55.5158823,37.5349277,55.5158823,37.5349277
217,3748816,"ул. Дубки, 2","Тимирязевская, Дмитровская",пн-вс 9:00 - 22:05,55.8168909,37.5679245,55.8168909,37.5679245
220,412833,"ул. Дубки, 4","Тимирязевская, Дмитровская",пн-вс 9:00 - 22:05,55.8176338,37.5664829,55.8176338,37.5664829
222,2713070,"ул. Черняховского, 19","Аэропорт, Сокол, Петровский парк",пн-вс 9:00 - 22:05,55.8097464,37.5400246,55.8097464,37.5400246
224,1699914,"ул. Милашенкова, 3к1","Фонвизинская, Тимирязевская, Улица Милашенкова",пн-вс 9:00 - 22:05,55.8224793,37.5866625,55.8224793,37.5866625
